"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"imd.ufrn.benchmark.MatcherBenchmark.testHybridMatcher","avgt",1,5,"264,228683","108,578210","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testHybridMatcher:gc.alloc.rate","avgt",1,5,"904,037052","341,930802","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testHybridMatcher:gc.alloc.rate.norm","avgt",1,5,"248443400,240000","511644,756502","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testHybridMatcher:gc.count","avgt",1,5,"4,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testHybridMatcher:gc.time","avgt",1,5,"118,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testPTAtomicMatcher","avgt",1,5,"36,961263","2,416248","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTAtomicMatcher:gc.alloc.rate","avgt",1,5,"4255,259371","272,462630","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testPTAtomicMatcher:gc.alloc.rate.norm","avgt",1,5,"164945482,150265","24,789963","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTAtomicMatcher:gc.count","avgt",1,5,"33,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testPTAtomicMatcher:gc.time","avgt",1,5,"1342,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testPTBasicoMatcher","avgt",1,5,"49,971154","64,204345","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTBasicoMatcher:gc.alloc.rate","avgt",1,5,"3379,533961","3502,231243","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testPTBasicoMatcher:gc.alloc.rate.norm","avgt",1,5,"164653617,744353","1660267,865465","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTBasicoMatcher:gc.count","avgt",1,5,"24,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testPTBasicoMatcher:gc.time","avgt",1,5,"314,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEAtomicMatcher","avgt",1,5,"4859,245477","5429,849998","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEAtomicMatcher:gc.alloc.rate","avgt",1,5,"55,351831","57,015980","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEAtomicMatcher:gc.alloc.rate.norm","avgt",1,5,"264635470,400000","1755604,040384","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEAtomicMatcher:gc.count","avgt",1,5,"22,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEAtomicMatcher:gc.time","avgt",1,5,"562,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEBasicoMatcher","avgt",1,5,"4112,285482","5392,140087","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEBasicoMatcher:gc.alloc.rate","avgt",1,5,"67,276877","85,177585","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEBasicoMatcher:gc.alloc.rate.norm","avgt",1,5,"264496200,000000","1734595,320102","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEBasicoMatcher:gc.count","avgt",1,5,"22,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEBasicoMatcher:gc.time","avgt",1,5,"538,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testPTELatchMatcher","avgt",1,5,"2972,072888","1153,578601","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTELatchMatcher:gc.alloc.rate","avgt",1,5,"86,437280","31,009508","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testPTELatchMatcher:gc.alloc.rate.norm","avgt",1,5,"267408160,000000","381933,872585","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTELatchMatcher:gc.count","avgt",1,5,"20,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testPTELatchMatcher:gc.time","avgt",1,5,"520,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEMutexMatcher","avgt",1,5,"3244,675124","2770,352249","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEMutexMatcher:gc.alloc.rate","avgt",1,5,"81,572274","57,338209","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEMutexMatcher:gc.alloc.rate.norm","avgt",1,5,"268652262,400000","1713867,837752","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEMutexMatcher:gc.count","avgt",1,5,"26,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEMutexMatcher:gc.time","avgt",1,5,"650,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEReentrantMatcher","avgt",1,5,"3022,032275","1312,940676","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEReentrantMatcher:gc.alloc.rate","avgt",1,5,"85,720265","38,053208","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEReentrantMatcher:gc.alloc.rate.norm","avgt",1,5,"268850393,600000","1667092,195295","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEReentrantMatcher:gc.count","avgt",1,5,"26,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEReentrantMatcher:gc.time","avgt",1,5,"792,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testPTESemaphoreMatcher","avgt",1,5,"3193,110776","2707,094954","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTESemaphoreMatcher:gc.alloc.rate","avgt",1,5,"82,882518","58,009173","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testPTESemaphoreMatcher:gc.alloc.rate.norm","avgt",1,5,"268738936,000000","1676476,667959","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTESemaphoreMatcher:gc.count","avgt",1,5,"18,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testPTESemaphoreMatcher:gc.time","avgt",1,5,"416,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEVolatileMatcher","avgt",1,5,"41,258711","26,235244","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEVolatileMatcher:gc.alloc.rate","avgt",1,5,"17,198939","9,584282","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEVolatileMatcher:gc.alloc.rate.norm","avgt",1,5,"730153,490226","8822,930635","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEVolatileMatcher:gc.count","avgt",1,5,"16,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testPTEVolatileMatcher:gc.time","avgt",1,5,"202,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testPTLatchMatcher","avgt",1,5,"40,887739","18,949054","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTLatchMatcher:gc.alloc.rate","avgt",1,5,"3890,852918","1808,952705","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testPTLatchMatcher:gc.alloc.rate.norm","avgt",1,5,"164945311,075751","202,724636","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTLatchMatcher:gc.count","avgt",1,5,"28,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testPTLatchMatcher:gc.time","avgt",1,5,"337,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testPTMutexMatcher","avgt",1,5,"40,808951","18,202885","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTMutexMatcher:gc.alloc.rate","avgt",1,5,"3891,591725","1699,279804","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testPTMutexMatcher:gc.alloc.rate.norm","avgt",1,5,"164858326,373307","223,542896","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTMutexMatcher:gc.count","avgt",1,5,"23,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testPTMutexMatcher:gc.time","avgt",1,5,"142,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testPTReentrantMatcher","avgt",1,5,"39,962635","21,775512","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTReentrantMatcher:gc.alloc.rate","avgt",1,5,"3988,873408","1921,365455","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testPTReentrantMatcher:gc.alloc.rate.norm","avgt",1,5,"164858617,582092","107,076539","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTReentrantMatcher:gc.count","avgt",1,5,"26,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testPTReentrantMatcher:gc.time","avgt",1,5,"316,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testPTSemaphoreMatcher","avgt",1,5,"43,355078","42,206305","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTSemaphoreMatcher:gc.alloc.rate","avgt",1,5,"3798,639368","3337,993588","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testPTSemaphoreMatcher:gc.alloc.rate.norm","avgt",1,5,"164859420,200474","779,516855","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTSemaphoreMatcher:gc.count","avgt",1,5,"24,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testPTSemaphoreMatcher:gc.time","avgt",1,5,"247,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testPTVolatileMatcher","avgt",1,5,"1,076748","0,544189","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTVolatileMatcher:gc.alloc.rate","avgt",1,5,"279,371126","76,521838","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testPTVolatileMatcher:gc.alloc.rate.norm","avgt",1,5,"313458,566086","99132,988500","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testPTVolatileMatcher:gc.count","avgt",1,5,"4,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testPTVolatileMatcher:gc.time","avgt",1,5,"89,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testSerialMatcher","avgt",1,5,"279,251784","177,533621","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testSerialMatcher:gc.alloc.rate","avgt",1,5,"577,486990","429,894860","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testSerialMatcher:gc.alloc.rate.norm","avgt",1,5,"164853103,600000","1523,847272","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testSerialMatcher:gc.count","avgt",1,5,"6,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testSerialMatcher:gc.time","avgt",1,5,"69,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testVTAtomicMatcher","avgt",1,5,"416,557912","1372,180346","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTAtomicMatcher:gc.alloc.rate","avgt",1,5,"2071,159347","5313,026139","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testVTAtomicMatcher:gc.alloc.rate.norm","avgt",1,5,"496949543,619048","2794623,212067","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTAtomicMatcher:gc.count","avgt",1,5,"16,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testVTAtomicMatcher:gc.time","avgt",1,5,"202,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testVTBasicoMatcher","avgt",1,5,"447,764462","1380,409972","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTBasicoMatcher:gc.alloc.rate","avgt",1,5,"1837,425418","4917,890588","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testVTBasicoMatcher:gc.alloc.rate.norm","avgt",1,5,"496594794,857143","1545210,851909","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTBasicoMatcher:gc.count","avgt",1,5,"16,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testVTBasicoMatcher:gc.time","avgt",1,5,"195,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testVTLatchMatcher","avgt",1,5,"475,291030","1284,793312","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTLatchMatcher:gc.alloc.rate","avgt",1,5,"1568,172795","4075,526250","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testVTLatchMatcher:gc.alloc.rate.norm","avgt",1,5,"500868131,809524","626853,130625","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTLatchMatcher:gc.count","avgt",1,5,"12,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testVTLatchMatcher:gc.time","avgt",1,5,"129,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testVTMutexMatcher","avgt",1,5,"453,406929","1420,993050","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTMutexMatcher:gc.alloc.rate","avgt",1,5,"1799,250977","4461,387324","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testVTMutexMatcher:gc.alloc.rate.norm","avgt",1,5,"501377702,019048","3197815,516644","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTMutexMatcher:gc.count","avgt",1,5,"12,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testVTMutexMatcher:gc.time","avgt",1,5,"157,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testVTReentrantMatcher","avgt",1,5,"428,885492","1280,418724","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTReentrantMatcher:gc.alloc.rate","avgt",1,5,"1872,366689","4982,360365","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testVTReentrantMatcher:gc.alloc.rate.norm","avgt",1,5,"500797958,228572","918121,843220","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTReentrantMatcher:gc.count","avgt",1,5,"16,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testVTReentrantMatcher:gc.time","avgt",1,5,"111,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testVTSemaphoreMatcher","avgt",1,5,"448,058323","1417,374835","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTSemaphoreMatcher:gc.alloc.rate","avgt",1,5,"1853,366147","4709,120585","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testVTSemaphoreMatcher:gc.alloc.rate.norm","avgt",1,5,"501050747,817143","1711011,538755","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTSemaphoreMatcher:gc.count","avgt",1,5,"16,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testVTSemaphoreMatcher:gc.time","avgt",1,5,"296,000000",NaN,"ms"
"imd.ufrn.benchmark.MatcherBenchmark.testVTVolatileMatcher","avgt",1,5,"0,581721","0,626374","ms/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTVolatileMatcher:gc.alloc.rate","avgt",1,5,"668,282678","1220,914323","MB/sec"
"imd.ufrn.benchmark.MatcherBenchmark.testVTVolatileMatcher:gc.alloc.rate.norm","avgt",1,5,"364564,754643","31878,725930","B/op"
"imd.ufrn.benchmark.MatcherBenchmark.testVTVolatileMatcher:gc.count","avgt",1,5,"6,000000",NaN,"counts"
"imd.ufrn.benchmark.MatcherBenchmark.testVTVolatileMatcher:gc.time","avgt",1,5,"103,000000",NaN,"ms"
